Class;Count
k9mail.src.main.com.fsck.k9.activity.ChooseFolder.ChooseFolderHandler;1
k9mail.src.main.com.fsck.k9.activity.ChooseFolder;7
k9mail.src.main.com.fsck.k9.activity.ColorPickerDialog;1
k9mail.src.main.com.fsck.k9.activity.compose.AttachmentPresenter;3
k9mail.src.main.com.fsck.k9.activity.compose.ComposeCryptoStatus;2
k9mail.src.main.com.fsck.k9.activity.compose.IdentityAdapter;2
k9mail.src.main.com.fsck.k9.activity.compose.MessageActions;2
k9mail.src.main.com.fsck.k9.activity.compose.RecipientAdapter;3
k9mail.src.main.com.fsck.k9.activity.compose.RecipientLoader;4
k9mail.src.main.com.fsck.k9.activity.compose.RecipientMvpView;4
k9mail.src.main.com.fsck.k9.activity.compose.RecipientPresenter;6
k9mail.src.main.com.fsck.k9.activity.ConfirmationDialog;2
k9mail.src.main.com.fsck.k9.activity.EmailAddressList;1
k9mail.src.main.com.fsck.k9.activity.FolderInfoHolder;1
k9mail.src.main.com.fsck.k9.activity.FolderList.FolderListAdapter;6
k9mail.src.main.com.fsck.k9.activity.FolderList;20
k9mail.src.main.com.fsck.k9.activity.FolderListFilter;2
k9mail.src.main.com.fsck.k9.activity.K9ActivityCommon;1
k9mail.src.main.com.fsck.k9.activity.K9ListActivity;1
k9mail.src.main.com.fsck.k9.activity.K9PreferenceActivity.PreferenceChangeListener;2
k9mail.src.main.com.fsck.k9.activity.ManageIdentities;4
k9mail.src.main.com.fsck.k9.activity.MessageCompose;15
k9mail.src.main.com.fsck.k9.activity.MessageList;20
k9mail.src.main.com.fsck.k9.activity.MessageLoaderHelper;2
k9mail.src.main.com.fsck.k9.activity.MessageReference;1
k9mail.src.main.com.fsck.k9.activity.MessageReferenceHelper;2
k9mail.src.main.com.fsck.k9.activity.misc.Attachment;1
k9mail.src.main.com.fsck.k9.activity.misc.ContactPictureLoader.FallbackGlideModelLoader;2
k9mail.src.main.com.fsck.k9.activity.misc.ContactPictureLoader;5
k9mail.src.main.com.fsck.k9.activity.misc.ExtendedAsyncTask;3
k9mail.src.main.com.fsck.k9.activity.misc.NonConfigurationInstance;2
k9mail.src.main.com.fsck.k9.activity.misc.SwipeGestureDetector;1
k9mail.src.main.com.fsck.k9.activity.NotificationDeleteConfirmation;2
k9mail.src.main.com.fsck.k9.activity.setup.AccountSettings;21
k9mail.src.main.com.fsck.k9.activity.setup.AccountSettings.PopulateFolderPrefsTask;1
k9mail.src.main.com.fsck.k9.activity.setup.AccountSetupAccountType;1
k9mail.src.main.com.fsck.k9.activity.setup.AccountSetupBasics;7
k9mail.src.main.com.fsck.k9.activity.setup.AccountSetupCheckSettings.CheckAccountTask;4
k9mail.src.main.com.fsck.k9.activity.setup.AccountSetupCheckSettings;9
k9mail.src.main.com.fsck.k9.activity.setup.AccountSetupIncoming;9
k9mail.src.main.com.fsck.k9.activity.setup.AccountSetupNames;4
k9mail.src.main.com.fsck.k9.activity.setup.AccountSetupOptions;2
k9mail.src.main.com.fsck.k9.activity.setup.AccountSetupOutgoing;12
k9mail.src.main.com.fsck.k9.activity.setup.FolderSettings;4
k9mail.src.main.com.fsck.k9.activity.setup.FontSizeSettings;2
k9mail.src.main.com.fsck.k9.activity.setup.OpenPgpAppSelectDialog;2
k9mail.src.main.com.fsck.k9.activity.setup.OpenPgpAppSelectDialog.OpenPgpAppSelectFragment;1
k9mail.src.main.com.fsck.k9.activity.setup.OpenPgpAppSelectDialog.OpenPgpProviderEntry;6
k9mail.src.main.com.fsck.k9.activity.setup.Prefs;4
k9mail.src.main.com.fsck.k9.activity.setup.SliderPreference;4
k9mail.src.main.com.fsck.k9.activity.setup.WelcomeMessage;1
k9mail.src.main.com.fsck.k9.activity.UnreadWidgetConfiguration;1
k9mail.src.main.com.fsck.k9.activity.UpgradeDatabases;4
k9mail.src.main.com.fsck.k9.autocrypt.AutocryptHeaderParser;2
k9mail.src.main.com.fsck.k9.autocrypt.AutocryptOpenPgpApiInteractor;2
k9mail.src.main.com.fsck.k9.autocrypt.AutocryptOperations;2
k9mail.src.main.com.fsck.k9.cache.EmailProviderCache;2
k9mail.src.main.com.fsck.k9.cache.EmailProviderCacheCursor;2
k9mail.src.main.com.fsck.k9.cache.TemporaryAttachmentStore;1
k9mail.src.main.com.fsck.k9.Clock;1
k9mail.src.main.com.fsck.k9.controller.MemorizingMessagingListener;5
k9mail.src.main.com.fsck.k9.controller.MessagingController.Command;1
k9mail.src.main.com.fsck.k9.controller.MessagingController;31
k9mail.src.main.com.fsck.k9.controller.MessagingControllerCommands;1
k9mail.src.main.com.fsck.k9.controller.MessagingControllerCommands.PendingAppend;1
k9mail.src.main.com.fsck.k9.controller.MessagingControllerCommands.PendingCommand;1
k9mail.src.main.com.fsck.k9.controller.MessagingControllerCommands.PendingExpunge;1
k9mail.src.main.com.fsck.k9.controller.MessagingControllerCommands.PendingMarkAllAsRead;1
k9mail.src.main.com.fsck.k9.controller.MessagingControllerCommands.PendingMoveOrCopy;1
k9mail.src.main.com.fsck.k9.controller.MessagingControllerCommands.PendingSetFlag;1
k9mail.src.main.com.fsck.k9.controller.PendingCommandSerializer;1
k9mail.src.main.com.fsck.k9.controller.SimpleMessagingListener;42
k9mail.src.main.com.fsck.k9.crypto.MessageCryptoStructureDetector;3
k9mail.src.main.com.fsck.k9.crypto.OpenPgpApiHelper;1
k9mail.src.main.com.fsck.k9.fragment.AttachmentDownloadDialogFragment;1
k9mail.src.main.com.fsck.k9.fragment.ConfirmationDialogFragment;2
k9mail.src.main.com.fsck.k9.fragment.MessageListAdapter;11
k9mail.src.main.com.fsck.k9.fragment.MessageListFragment.ActionModeCallback;1
k9mail.src.main.com.fsck.k9.fragment.MessageListFragment;40
k9mail.src.main.com.fsck.k9.fragment.MessageListFragment.MessageListActivityListener;2
k9mail.src.main.com.fsck.k9.fragment.MessageListFragmentComparators.AttachmentComparator;2
k9mail.src.main.com.fsck.k9.fragment.MessageListFragmentComparators.ReverseIdComparator;1
k9mail.src.main.com.fsck.k9.fragment.MessageListHandler;6
k9mail.src.main.com.fsck.k9.fragment.MessageViewHolder;1
k9mail.src.main.com.fsck.k9.fragment.MLFProjectionInfo;1
k9mail.src.main.com.fsck.k9.fragment.MlfUtils;2
k9mail.src.main.com.fsck.k9.fragment.ProgressDialogFragment;1
k9mail.src.main.com.fsck.k9.Globals;2
k9mail.src.main.com.fsck.k9.helper.ClipboardManager;2
k9mail.src.main.com.fsck.k9.helper.ContactPicture;2
k9mail.src.main.com.fsck.k9.helper.Contacts;3
k9mail.src.main.com.fsck.k9.helper.ExceptionHelper;1
k9mail.src.main.com.fsck.k9.helper.FileBrowserHelper.FileBrowserFailOverCallback;2
k9mail.src.main.com.fsck.k9.helper.FileBrowserHelper;4
k9mail.src.main.com.fsck.k9.helper.FileHelper;3
k9mail.src.main.com.fsck.k9.helper.IdentityHelper;1
k9mail.src.main.com.fsck.k9.helper.jsoup.AdvancedNodeTraversor;1
k9mail.src.main.com.fsck.k9.helper.MailTo;1
k9mail.src.main.com.fsck.k9.helper.MergeCursor;5
k9mail.src.main.com.fsck.k9.helper.MessageHelper;2
k9mail.src.main.com.fsck.k9.helper.ParcelableUtil;1
k9mail.src.main.com.fsck.k9.helper.Preconditions;2
k9mail.src.main.com.fsck.k9.helper.ReplyToParser.ReplyToAddresses;2
k9mail.src.main.com.fsck.k9.helper.SimpleTextWatcher;3
k9mail.src.main.com.fsck.k9.helper.SizeFormatter;5
k9mail.src.main.com.fsck.k9.helper.UrlEncodingHelper;3
k9mail.src.main.com.fsck.k9.helper.Utility;7
k9mail.src.main.com.fsck.k9.K9.BACKGROUND_OPS;1
k9mail.src.main.com.fsck.k9.K9.Intents;2
k9mail.src.main.com.fsck.k9.K9;4
k9mail.src.main.com.fsck.k9.mailstore.AttachmentResolver;1
k9mail.src.main.com.fsck.k9.mailstore.DeferredFileBody;2
k9mail.src.main.com.fsck.k9.mailstore.LocalFolder.DataLocation;1
k9mail.src.main.com.fsck.k9.mailstore.LocalFolder;11
k9mail.src.main.com.fsck.k9.mailstore.LocalFolder.MessagePartType;1
k9mail.src.main.com.fsck.k9.mailstore.LocalMessage;11
k9mail.src.main.com.fsck.k9.mailstore.LockableDatabase;2
k9mail.src.main.com.fsck.k9.mailstore.MessageHelper;1
k9mail.src.main.com.fsck.k9.mailstore.MessageRemovalListener;1
k9mail.src.main.com.fsck.k9.mailstore.MessageViewInfoExtractor;3
k9mail.src.main.com.fsck.k9.mailstore.migrations.Migrations;4
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo30;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo31;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo32;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo33;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo34;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo35;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo36;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo37;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo39;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo40;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo41;1
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo42;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo43;4
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo44;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo45;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo46;4
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo47;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo48;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo49;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo50;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo51;3
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo51.MimeStructureState;1
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo52;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo53;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo54;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo55;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo56;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo57;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo58;2
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo59;1
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo60;3
k9mail.src.main.com.fsck.k9.mailstore.migrations.MigrationTo61;2
k9mail.src.main.com.fsck.k9.mailstore.MimePartStreamParser;2
k9mail.src.main.com.fsck.k9.mailstore.StorageManager;1
k9mail.src.main.com.fsck.k9.mailstore.StorageManager.SynchronizationAid;1
k9mail.src.main.com.fsck.k9.mailstore.StoreSchemaDefinition;3
k9mail.src.main.com.fsck.k9.mailstore.util.FlowedMessageUtils;28
k9mail.src.main.com.fsck.k9.message.AutocryptStatusInteractor;1
k9mail.src.main.com.fsck.k9.message.extractors.AttachmentInfoExtractor;2
k9mail.src.main.com.fsck.k9.message.extractors.BodyTextExtractor;2
k9mail.src.main.com.fsck.k9.message.extractors.PreviewResult;1
k9mail.src.main.com.fsck.k9.message.extractors.PreviewTextExtractor;1
k9mail.src.main.com.fsck.k9.message.html.HeadCleaner.CleaningVisitor;2
k9mail.src.main.com.fsck.k9.message.html.HeadCleaner;1
k9mail.src.main.com.fsck.k9.message.html.HtmlConverter.HtmlToTextTagHandler;2
k9mail.src.main.com.fsck.k9.message.html.HtmlConverter;6
k9mail.src.main.com.fsck.k9.message.html.HtmlConverter.ListTagHandler;2
k9mail.src.main.com.fsck.k9.message.html.HtmlProcessor;1
k9mail.src.main.com.fsck.k9.message.html.HttpUriParser;10
k9mail.src.main.com.fsck.k9.message.html.UriLinkifier;3
k9mail.src.main.com.fsck.k9.message.IdentityHeaderParser;2
k9mail.src.main.com.fsck.k9.message.MessageBuilder;6
k9mail.src.main.com.fsck.k9.message.PgpMessageBuilder;3
k9mail.src.main.com.fsck.k9.message.quote.HtmlQuoteCreator;1
k9mail.src.main.com.fsck.k9.message.quote.InsertableHtmlContent;2
k9mail.src.main.com.fsck.k9.message.quote.QuoteHelper;1
k9mail.src.main.com.fsck.k9.message.quote.TextQuoteCreator;2
k9mail.src.main.com.fsck.k9.message.signature.TextSignatureRemover;2
k9mail.src.main.com.fsck.k9.notification.AddNotificationResult;1
k9mail.src.main.com.fsck.k9.notification.AuthenticationErrorNotifications;1
k9mail.src.main.com.fsck.k9.notification.CertificateErrorNotifications;1
k9mail.src.main.com.fsck.k9.notification.DeviceNotifications;5
k9mail.src.main.com.fsck.k9.notification.LockScreenNotification;1
k9mail.src.main.com.fsck.k9.notification.NewMailNotifications;2
k9mail.src.main.com.fsck.k9.notification.NotificationActionService;2
k9mail.src.main.com.fsck.k9.notification.NotificationContentCreator;1
k9mail.src.main.com.fsck.k9.notification.NotificationData;2
k9mail.src.main.com.fsck.k9.notification.NotificationGroupKeys;2
k9mail.src.main.com.fsck.k9.notification.NotificationIds;1
k9mail.src.main.com.fsck.k9.notification.RemoveNotificationResult;1
k9mail.src.main.com.fsck.k9.notification.SendFailedNotifications;1
k9mail.src.main.com.fsck.k9.notification.SyncNotifications;2
k9mail.src.main.com.fsck.k9.NotificationSetting;1
k9mail.src.main.com.fsck.k9.power.DeviceIdleManager;1
k9mail.src.main.com.fsck.k9.power.DeviceIdleManager.RealDeviceIdleManager;1
k9mail.src.main.com.fsck.k9.preferences.AccountSettings.DeletePolicySetting;1
k9mail.src.main.com.fsck.k9.preferences.AccountSettings.IntegerResourceSetting;1
k9mail.src.main.com.fsck.k9.preferences.AccountSettings;2
k9mail.src.main.com.fsck.k9.preferences.FolderSettings;2
k9mail.src.main.com.fsck.k9.preferences.GlobalSettings.DirectorySetting;1
k9mail.src.main.com.fsck.k9.preferences.GlobalSettings;3
k9mail.src.main.com.fsck.k9.preferences.GlobalSettings.SettingsUpgraderV24;2
k9mail.src.main.com.fsck.k9.preferences.GlobalSettings.SubThemeSetting;1
k9mail.src.main.com.fsck.k9.preferences.GlobalSettings.ThemeSetting;3
k9mail.src.main.com.fsck.k9.preferences.IdentitySettings;2
k9mail.src.main.com.fsck.k9.Preferences;5
k9mail.src.main.com.fsck.k9.preferences.Settings.ColorSetting;2
k9mail.src.main.com.fsck.k9.preferences.Settings.EnumSetting;1
k9mail.src.main.com.fsck.k9.preferences.Settings.FontSizeSetting;1
k9mail.src.main.com.fsck.k9.preferences.Settings.IntegerRangeSetting;1
k9mail.src.main.com.fsck.k9.preferences.Settings;6
k9mail.src.main.com.fsck.k9.preferences.Settings.WebFontSizeSetting;1
k9mail.src.main.com.fsck.k9.preferences.SettingsExporter;9
k9mail.src.main.com.fsck.k9.preferences.SettingsImporter.AccountDescription;2
k9mail.src.main.com.fsck.k9.preferences.SettingsImporter.AccountDescriptionPair;2
k9mail.src.main.com.fsck.k9.preferences.SettingsImporter.ImportContents;2
k9mail.src.main.com.fsck.k9.preferences.SettingsImporter.ImportResults;2
k9mail.src.main.com.fsck.k9.preferences.SettingsImporter;12
k9mail.src.main.com.fsck.k9.preferences.Storage;2
k9mail.src.main.com.fsck.k9.PRNGFixes;5
k9mail.src.main.com.fsck.k9.PRNGFixes.LinuxPRNGSecureRandom;1
k9mail.src.main.com.fsck.k9.provider.AttachmentProvider.AttachmentProviderColumns;1
k9mail.src.main.com.fsck.k9.provider.AttachmentProvider;1
k9mail.src.main.com.fsck.k9.provider.AttachmentTempFileProvider;2
k9mail.src.main.com.fsck.k9.provider.DecryptedFileProvider;4
k9mail.src.main.com.fsck.k9.provider.EmailProvider.FolderColumns;14
k9mail.src.main.com.fsck.k9.provider.EmailProvider.InternalMessageColumns;3
k9mail.src.main.com.fsck.k9.provider.EmailProvider;2
k9mail.src.main.com.fsck.k9.provider.EmailProvider.MessageColumns;20
k9mail.src.main.com.fsck.k9.provider.EmailProvider.SpecialColumns;4
k9mail.src.main.com.fsck.k9.provider.EmailProvider.SpecialColumnsCursor;1
k9mail.src.main.com.fsck.k9.provider.EmailProvider.StatsColumns;2
k9mail.src.main.com.fsck.k9.provider.EmailProvider.ThreadColumns;4
k9mail.src.main.com.fsck.k9.provider.MessageProvider.AccountColumns;4
k9mail.src.main.com.fsck.k9.provider.MessageProvider;5
k9mail.src.main.com.fsck.k9.provider.MessageProvider.MessageColumns;14
k9mail.src.main.com.fsck.k9.provider.MessageProvider.MessagesQueryHandler;1
k9mail.src.main.com.fsck.k9.provider.MessageProvider.ReverseDateComparator;1
k9mail.src.main.com.fsck.k9.provider.MessageProvider.UnreadColumns;2
k9mail.src.main.com.fsck.k9.provider.UnreadWidgetProvider;1
k9mail.src.main.com.fsck.k9.remotecontrol.K9AccountReceptor;1
k9mail.src.main.com.fsck.k9.remotecontrol.K9RemoteControl;2
k9mail.src.main.com.fsck.k9.search.ConditionsTreeNode;2
k9mail.src.main.com.fsck.k9.search.LocalSearch;8
k9mail.src.main.com.fsck.k9.search.SearchSpecification;4
k9mail.src.main.com.fsck.k9.search.SearchSpecification.SearchCondition;3
k9mail.src.main.com.fsck.k9.search.SqlQueryBuilder;6
k9mail.src.main.com.fsck.k9.service.BootReceiver;2
k9mail.src.main.com.fsck.k9.service.CoreService;3
k9mail.src.main.com.fsck.k9.service.MailService;13
k9mail.src.main.com.fsck.k9.service.PollService;1
k9mail.src.main.com.fsck.k9.service.PollService.Listener;1
k9mail.src.main.com.fsck.k9.service.RemoteControlReceiver;1
k9mail.src.main.com.fsck.k9.service.RemoteControlService;1
k9mail.src.main.com.fsck.k9.setup.ServerNameSuggester;1
k9mail.src.main.com.fsck.k9.Throttle;4
k9mail.src.main.com.fsck.k9.ui.compose.QuotedMessageMvpView;2
k9mail.src.main.com.fsck.k9.ui.compose.QuotedMessagePresenter;1
k9mail.src.main.com.fsck.k9.ui.ContactBadge;5
k9mail.src.main.com.fsck.k9.ui.ContactBadge.QueryHandler;2
k9mail.src.main.com.fsck.k9.ui.crypto.MessageCryptoAnnotations;1
k9mail.src.main.com.fsck.k9.ui.crypto.MessageCryptoHelper;3
k9mail.src.main.com.fsck.k9.ui.message.LocalMessageExtractorLoader;1
k9mail.src.main.com.fsck.k9.ui.messageview.AttachmentController;3
k9mail.src.main.com.fsck.k9.ui.messageview.AttachmentView;1
k9mail.src.main.com.fsck.k9.ui.messageview.DownloadImageTask;1
k9mail.src.main.com.fsck.k9.ui.messageview.LockedAttachmentView;1
k9mail.src.main.com.fsck.k9.ui.messageview.MessageContainerView;6
